sex,age_cat,education_cat,country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
Female,30-49,Medium,Italy,A,A,A,B,A,A,B,A,A,A,A,A,B,B,A
Male,18-29,Medium,Sweden,A,A,A,A,B,A,A,B,B,A,A,A,A,B,A
Female,30-49,High,USA,A,A,A,B,A,A,A,A,A,B,A,A,B,B,A
Female,18-29,Medium,USA,B,B,B,B,B,B,A,B,B,A,B,B,B,A,B
Female,18-29,High,USA,A,A,B,A,A,B,A,A,A,A,A,A,A,B,A
Male,18-29,Medium,Indonesia,A,A,B,A,A,B,A,A,A,A,B,A,A,B,A
Male,50-69,None,Italy,B,A,B,B,B,B,B,A,B,B,A,B,B,B,B
Male,30-49,High,USA,A,A,A,A,A,A,A,B,A,A,B,A,B,B,B
Male,30-49,High,Sweden,A,A,B,A,A,B,A,B,A,A,A,A,A,B,A
Female,30-49,Low,Netherlands,A,B,A,B,A,A,B,A,A,B,B,A,A,B,A
Female,50-69,Medium,Netherlands,A,B,B,B,B,B,B,B,B,A,B,B,B,A,B
Female,50-69,High,USA,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A
Female,50-69,High,Indonesia,A,B,B,B,B,A,B,B,B,B,B,B,B,A,B
Female,50-69,Medium,Sweden,A,A,B,A,A,A,A,A,A,B,B,A,B,B,A
Male,18-29,None,USA,B,A,B,A,A,A,B,B,A,A,A,A,A,B,A
Female,50-69,High,Peru,A,A,A,B,B,A,A,A,B,A,A,A,A,B,B
Male,30-49,High,Tanzania,B,B,A,B,B,A,B,A,B,A,B,B,B,A,B
Male,18-29,High,Hungary,A,B,A,A,B,A,A,A,A,A,A,B,A,B,A
Female,18-29,High,Bangladesh,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B
Male,50-69,High,Netherlands,B,B,B,B,A,B,B,A,B,B,B,A,B,A,B
Male,50-69,High,USA,B,B,B,B,B,B,B,B,A,B,A,B,B,A,A
Male,30-49,High,Bangladesh,A,A,B,B,A,B,A,B,B,A,A,A,A,B,A
Female,50-69,Low,Italy,B,B,B,A,B,B,B,B,B,B,B,A,B,A,B
Female,30-49,High,USA,B,B,B,B,B,B,A,B,B,A,B,A,B,A,B
Male,30-49,Low,Hungary,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B
Male,30-49,Medium,Italy,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A
Male,30-49,Low,Indonesia,B,B,B,B,A,B,B,B,B,B,B,B,B,A,B
Female,30-49,Medium,Peru,A,A,A,B,A,A,A,B,A,A,A,A,A,B,A
Male,50-69,High,Hungary,B,B,A,B,B,A,A,B,B,B,B,B,B,B,A
Male,30-49,High,Tanzania,B,B,A,B,B,B,B,B,B,B,B,A,B,A,B
Male,50-69,Medium,Sweden,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A
Female,50-69,Medium,Sweden,A,A,B,B,B,B,B,A,B,B,B,B,B,B,B
Male,50-69,Medium,Sweden,B,B,B,A,B,B,B,B,B,B,B,A,B,A,B
Female,30-49,High,Sweden,A,A,B,A,A,A,B,A,A,A,B,B,A,B,A
Female,50-69,High,Peru,A,A,B,A,A,B,A,A,A,A,B,A,A,B,A
Female,18-29,High,Hungary,B,A,B,A,A,A,B,A,B,A,A,A,A,B,A
Male,30-49,Medium,Netherlands,B,B,A,A,A,B,A,A,A,B,A,B,B,A,A
Female,18-29,High,USA,A,A,B,B,A,A,B,A,A,A,A,B,B,B,A
Female,50-69,High,Netherlands,B,B,A,B,B,B,B,A,B,A,B,A,B,A,B
Male,50-69,High,USA,A,B,B,A,A,A,A,A,A,A,B,A,A,B,B
Female,50-69,Medium,Sweden,B,B,B,B,A,B,B,B,A,B,B,B,A,A,B
Male,30-49,High,Netherlands,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B
Male,18-29,High,Netherlands,A,A,A,A,B,A,A,A,A,A,A,A,B,B,A
Female,18-29,Low,Netherlands,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B
Female,>=70,Medium,Tanzania,A,A,B,B,B,B,A,A,B,B,B,B,A,B,B
Male,50-69,High,USA,B,B,B,A,A,A,B,B,B,B,B,B,B,A,A
Male,30-49,High,USA,A,A,A,B,A,A,B,B,A,A,A,B,A,B,B
Female,>=70,High,Netherlands,B,A,B,B,B,B,B,B,B,B,B,B,A,B,B
Female,30-49,High,Sweden,B,A,A,A,B,A,B,A,A,A,B,A,A,B,A
Male,30-49,Medium,USA,B,B,B,B,B,B,A,B,B,B,B,B,B,A,A
Female,30-49,High,Netherlands,A,A,A,A,A,A,A,A,A,B,A,B,B,B,A
Female,30-49,Low,Indonesia,B,B,B,B,A,B,A,B,B,B,B,B,B,A,B
Female,18-29,High,Italy,A,B,A,A,A,A,A,A,A,A,B,A,A,B,A
Female,30-49,Medium,Netherlands,B,B,B,B,B,B,A,B,B,B,B,B,B,A,B
Female,50-69,High,USA,A,A,B,A,A,B,B,A,A,B,A,A,B,B,A
Male,18-29,High,Italy,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B
Male,30-49,High,Netherlands,A,A,A,B,A,A,A,A,A,B,A,A,A,B,A
Female,50-69,High,USA,A,B,B,B,A,B,A,B,B,A,A,B,B,A,B
Male,30-49,High,Indonesia,B,B,B,B,B,B,A,B,B,A,B,B,A,A,B
Female,18-29,High,Netherlands,B,A,A,A,A,A,A,A,A,A,A,B,B,B,B
Male,30-49,Medium,Hungary,B,B,B,A,B,B,B,B,B,B,B,B,B,A,B
Male,30-49,Medium,USA,A,B,B,B,B,B,B,B,B,A,B,B,B,A,B
Female,50-69,Medium,Netherlands,B,A,B,A,A,B,A,A,A,A,A,A,A,B,B
Male,50-69,High,Tanzania,B,A,A,A,B,A,B,A,A,A,B,A,B,B,A
Male,30-49,High,Sweden,A,A,A,B,A,B,B,A,A,B,A,B,A,B,A
Female,30-49,Medium,USA,B,B,B,B,B,B,A,B,A,B,B,B,B,A,B
Female,30-49,High,Tanzania,B,A,A,A,A,A,A,A,A,B,A,A,A,B,B
Male,30-49,High,Sweden,A,A,A,B,A,A,A,B,A,A,A,A,B,B,A
Female,50-69,Medium,Netherlands,B,B,A,B,B,A,B,B,B,B,A,B,A,A,B
Female,18-29,Medium,Peru,B,A,B,A,A,A,A,A,A,A,B,B,A,B,A
Male,50-69,Low,Hungary,B,B,B,B,B,B,B,B,B,B,A,B,A,A,B
Male,18-29,High,USA,A,A,A,B,A,B,A,A,B,A,A,A,A,B,A
Female,50-69,High,Netherlands,A,A,A,A,A,A,A,B,A,B,A,A,A,B,B
Male,30-49,High,USA,A,A,A,A,B,A,A,B,A,A,A,B,A,B,A
Female,30-49,Medium,Netherlands,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B
Male,18-29,High,Tanzania,A,A,A,A,A,A,A,A,A,B,B,B,A,B,A
Female,30-49,High,USA,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B
Male,50-69,None,Sweden,B,B,A,B,B,B,B,B,B,A,B,B,B,A,A
Female,50-69,Low,USA,A,A,B,A,A,A,B,B,B,A,A,A,A,B,A
Female,18-29,High,Netherlands,B,B,A,B,B,B,A,B,B,B,A,B,A,A,A
Male,50-69,None,USA,B,B,B,A,B,B,B,A,B,A,B,B,B,A,B
Male,30-49,Medium,Italy,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B
Female,30-49,Medium,Sweden,B,B,A,A,B,B,B,B,B,B,A,B,B,A,A
Female,50-69,High,Indonesia,B,B,B,B,B,B,A,B,B,B,B,B,B,A,B
Male,50-69,Medium,USA,B,B,B,A,B,B,B,B,B,B,B,B,B,A,B
Female,30-49,High,Italy,A,A,A,B,A,A,B,A,B,B,A,A,A,B,A
Female,18-29,High,Indonesia,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A
Male,50-69,Low,Italy,B,B,B,A,B,A,B,B,A,B,A,B,B,A,B
Male,30-49,High,Italy,B,B,B,A,B,B,B,B,B,B,B,B,B,A,B
