X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15
"Stroke: long-term consequences, severe plus cognition problems; Multiple sclerosis: severe";"Hearing loss: complete; Musculoskeletal problems, legs: mild";"Dementia: moderate; Musculoskeletal problems, legs: mild";"Acute myocardial infarction: days 3-28; Distance vision: moderate impairment";"Major depressive disorder: moderate episode; Hearing loss: complete";"Decompensated cirrhosis of the liver; Musculoskeletal problems, legs: mild";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Hearing loss: complete";"Motor impairment: moderate; Asthma: partially controlled";"Cancer: diagnosis and primary therapy; Anxiety disorders: moderate";"Anxiety disorders: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Spinal cord lesion at neck level: treated; Anemia: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Dementia: mild";"Diabetic neuropathy; Musculoskeletal problems, legs: mild";"Musculoskeletal problems, legs: mild; Hearing loss: complete";"COPD and other chronic respiratory disease: severe; Asthma: controlled"
"Stroke: long-term consequences, severe plus cognition problems; Anemia: moderate";"Motor impairment: moderate; Acute myocardial infarction: days 3-28";"Hearing loss: complete; Asthma: partially controlled";"Dementia: moderate; Major depressive disorder: moderate episode";"Spinal cord lesion at neck level: treated; Multiple sclerosis: severe";"Spinal cord lesion at neck level: treated; Decompensated cirrhosis of the liver";"Musculoskeletal problems, legs: mild; Hearing loss: moderate";"Parkinson's disease: moderate; Distance vision: moderate impairment";"Diabetic neuropathy; COPD and other chronic respiratory disease: mild";"Dementia: moderate; Stroke: long-term consequences, moderate";"Decompensated cirrhosis of the liver; Musculoskeletal problems, legs: mild";"Anemia: moderate; Asthma: partially controlled";"Acute myocardial infarction: days 3-28; Angina pectoris: moderate";"Acute myocardial infarction: days 3-28; Motor impairment: moderate";"Cancer: diagnosis and primary therapy; Stroke: long-term consequences, moderate"
"COPD and other chronic respiratory disease: mild; Stroke: long-term consequences, moderate";"Anemia: moderate; Major depressive disorder: moderate episode";"Dementia: mild; Cancer: diagnosis and primary therapy";"Stroke: long-term consequences, moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Hearing loss: complete; Anxiety disorders: severe";"Cancer: diagnosis and primary therapy; Parkinson's disease: moderate";"Musculoskeletal problems, legs: mild; Motor impairment: moderate";"Acute myocardial infarction: days 3-28; Major depressive disorder: moderate episode";"Asthma: partially controlled; Anxiety disorders: moderate";"Asthma: controlled; Dementia: mild";"Angina pectoris: moderate; Dementia: moderate";"Musculoskeletal problems, legs: mild; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Distance vision: moderate impairment; Anemia: moderate";"Major depressive disorder: moderate episode; Anemia: moderate";"Asthma: controlled; Asthma: partially controlled"
"Major depressive disorder: moderate episode; Hearing loss: moderate";"Major depressive disorder: moderate episode; Hearing loss: complete";"Stroke: long-term consequences, moderate; Asthma: partially controlled";"Anxiety disorders: severe; Hearing loss: complete";"Acute myocardial infarction: days 3-28; Hearing loss: complete";"Anxiety disorders: severe; Distance vision: moderate impairment";"Multiple sclerosis: severe; COPD and other chronic respiratory disease: severe";"Multiple sclerosis: severe; Anemia: moderate";"Anxiety disorders: severe; Asthma: partially controlled";"Stroke: long-term consequences, severe plus cognition problems; Hearing loss: complete";"COPD and other chronic respiratory disease: severe; Anxiety disorders: moderate";"Anemia: moderate; COPD and other chronic respiratory disease: mild";"Hearing loss: complete; Hearing loss: moderate";"Hearing loss: complete; Major depressive disorder: moderate episode";"Anxiety disorders: moderate; Anemia: moderate"
"Multiple sclerosis: severe; Acute myocardial infarction: days 3-28";"COPD and other chronic respiratory disease: mild; Asthma: controlled";"Dementia: moderate; Anemia: moderate";"Distance vision: moderate impairment; COPD and other chronic respiratory disease: mild";"Dementia: moderate; Decompensated cirrhosis of the liver";"Dementia: moderate; Diabetic neuropathy";"Dementia: mild; COPD and other chronic respiratory disease: mild";"COPD and other chronic respiratory disease: severe; Distance vision: moderate impairment";"Anxiety disorders: severe; Cancer: diagnosis and primary therapy";"Parkinson's disease: moderate; Major depressive disorder: moderate episode";"Acute myocardial infarction: days 3-28; Anxiety disorders: moderate";"Spinal cord lesion at neck level: treated; Dementia: mild";"Amputation of finger(s), excluding thumb: long term, with treatment; Distance vision: moderate impairment";"Asthma: controlled; COPD and other chronic respiratory disease: mild";"Cancer: diagnosis and primary therapy; Musculoskeletal problems, legs: mild"
"Spinal cord lesion at neck level: treated; Musculoskeletal problems, legs: mild";"Distance vision: severe impairment; Distance vision: moderate impairment";"Dementia: moderate; Distance vision: severe impairment";"Stroke: long-term consequences, severe plus cognition problems; Anemia: moderate";"Distance vision: severe impairment; Major depressive disorder: moderate episode";"Distance vision: severe impairment; Anxiety disorders: moderate";"Decompensated cirrhosis of the liver; Hearing loss: moderate";"Cancer: diagnosis and primary therapy; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Anemia: moderate; Asthma: controlled";"Anxiety disorders: severe; COPD and other chronic respiratory disease: mild";"Dementia: moderate; Motor impairment: moderate";"Distance vision: severe impairment; Angina pectoris: moderate";"Parkinson's disease: moderate; COPD and other chronic respiratory disease: mild";"Distance vision: moderate impairment; Distance vision: severe impairment";"Anxiety disorders: severe; Distance vision: moderate impairment"
"Hearing loss: complete; Cancer: diagnosis and primary therapy";"Hearing loss: complete; Dementia: mild";"Angina pectoris: moderate; Decompensated cirrhosis of the liver";"COPD and other chronic respiratory disease: severe; Multiple sclerosis: severe";"Hearing loss: moderate; Motor impairment: moderate";"Anxiety disorders: severe; Dementia: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Motor impairment: moderate";"Asthma: controlled; Acute myocardial infarction: days 3-28";"Dementia: moderate; Multiple sclerosis: severe";"Musculoskeletal problems, legs: mild; Anxiety disorders: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Cancer: diagnosis and primary therapy";"Angina pectoris: moderate; Hearing loss: complete";"Decompensated cirrhosis of the liver; Multiple sclerosis: severe";"Dementia: mild; Hearing loss: complete";"Musculoskeletal problems, legs: mild; Cancer: diagnosis and primary therapy"
"Asthma: partially controlled; Multiple sclerosis: severe";"Angina pectoris: moderate; Motor impairment: moderate";"Dementia: mild; Stroke: long-term consequences, moderate";"Asthma: controlled; Hearing loss: complete";"Asthma: partially controlled; Anxiety disorders: moderate";"Dementia: moderate; Spinal cord lesion at neck level: treated";"Distance vision: moderate impairment; Multiple sclerosis: severe";"Anxiety disorders: moderate; Stroke: long-term consequences, moderate";"Angina pectoris: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Dementia: mild; Amputation of finger(s), excluding thumb: long term, with treatment";"Dementia: mild; Multiple sclerosis: severe";"Asthma: partially controlled; Dementia: moderate";"Hearing loss: complete; Anxiety disorders: moderate";"Motor impairment: moderate; Angina pectoris: moderate";"Musculoskeletal problems, legs: mild; Amputation of finger(s), excluding thumb: long term, with treatment"
"Asthma: controlled; Cancer: diagnosis and primary therapy";"Asthma: partially controlled; Distance vision: moderate impairment";"Dementia: mild; Major depressive disorder: moderate episode";"Asthma: partially controlled; Spinal cord lesion at neck level: treated";"Angina pectoris: moderate; Stroke: long-term consequences, moderate";"Parkinson's disease: moderate; Anxiety disorders: severe";"Asthma: partially controlled; Diabetic neuropathy";"Stroke: long-term consequences, moderate; Stroke: long-term consequences, severe plus cognition problems";"COPD and other chronic respiratory disease: severe; Dementia: moderate";"Cancer: diagnosis and primary therapy; Parkinson's disease: moderate";"Anxiety disorders: moderate; Acute myocardial infarction: days 3-28";"Hearing loss: complete; Parkinson's disease: moderate";"Stroke: long-term consequences, moderate; COPD and other chronic respiratory disease: severe";"Distance vision: moderate impairment; Asthma: partially controlled";"COPD and other chronic respiratory disease: mild; Anxiety disorders: moderate"
"Hearing loss: moderate; Asthma: partially controlled";"Asthma: controlled; Multiple sclerosis: severe";"Parkinson's disease: moderate; Multiple sclerosis: severe";"Asthma: controlled; Amputation of finger(s), excluding thumb: long term, with treatment";"Hearing loss: complete; Decompensated cirrhosis of the liver";"Asthma: partially controlled; Multiple sclerosis: severe";"Angina pectoris: moderate; Stroke: long-term consequences, severe plus cognition problems";"Asthma: partially controlled; Stroke: long-term consequences, moderate";"Distance vision: moderate impairment; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Musculoskeletal problems, legs: mild; Angina pectoris: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Spinal cord lesion at neck level: treated";"Motor impairment: moderate; COPD and other chronic respiratory disease: severe";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Stroke: long-term consequences, severe plus cognition problems";"Multiple sclerosis: severe; Asthma: controlled";"Major depressive disorder: moderate episode; Anxiety disorders: severe"
"Anemia: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Amputation of finger(s), excluding thumb: long term, with treatment; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Hearing loss: moderate; Dementia: mild";"Amputation of finger(s), excluding thumb: long term, with treatment; Anxiety disorders: severe";"Anemia: moderate; Multiple sclerosis: severe";"Anemia: moderate; Parkinson's disease: moderate";"Distance vision: moderate impairment; Anxiety disorders: severe";"Amputation of finger(s), excluding thumb: long term, with treatment; Cancer: diagnosis and primary therapy";"COPD and other chronic respiratory disease: mild; Hearing loss: complete";"Hearing loss: complete; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Decompensated cirrhosis of the liver; Multiple sclerosis: severe";"Anemia: moderate; Stroke: long-term consequences, moderate";"Musculoskeletal problems, legs: mild; Angina pectoris: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Amputation of finger(s), excluding thumb: long term, with treatment";"Dementia: mild; Distance vision: severe impairment"
"Amputation of finger(s), excluding thumb: long term, with treatment; Musculoskeletal problems, legs: mild";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Musculoskeletal problems, legs: mild";"Stroke: long-term consequences, severe plus cognition problems; Diabetic neuropathy";"Diabetic neuropathy; COPD and other chronic respiratory disease: mild";"Dementia: moderate; Cancer: diagnosis and primary therapy";"COPD and other chronic respiratory disease: severe; Hearing loss: moderate";"Acute myocardial infarction: days 3-28; Hearing loss: moderate";"Anxiety disorders: severe; Amputation of finger(s), excluding thumb: long term, with treatment";"Decompensated cirrhosis of the liver; Hearing loss: complete";"Dementia: moderate; Dementia: mild";"Stroke: long-term consequences, severe plus cognition problems; Asthma: partially controlled";"Dementia: moderate; Asthma: controlled";"Major depressive disorder: moderate episode; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Musculoskeletal problems, legs: mild; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Decompensated cirrhosis of the liver; Musculoskeletal problems, legs: mild"
"Dementia: mild; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Asthma: controlled; Decompensated cirrhosis of the liver";"Amputation of finger(s), excluding thumb: long term, with treatment; Distance vision: severe impairment";"Asthma: controlled; Motor impairment: moderate";"Anemia: moderate; Distance vision: severe impairment";"Hearing loss: complete; Multiple sclerosis: severe";"Anxiety disorders: moderate; Anxiety disorders: severe";"Asthma: controlled; Diabetic neuropathy";"Hearing loss: moderate; Cancer: diagnosis and primary therapy";"Distance vision: moderate impairment; Major depressive disorder: moderate episode";"Hearing loss: moderate; Musculoskeletal problems, legs: mild";"Distance vision: moderate impairment; Spinal cord lesion at neck level: treated";"Anxiety disorders: moderate; Decompensated cirrhosis of the liver";"Decompensated cirrhosis of the liver; Asthma: controlled";"COPD and other chronic respiratory disease: mild; Acute myocardial infarction: days 3-28"
"Decompensated cirrhosis of the liver; Acute myocardial infarction: days 3-28";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Asthma: controlled";"Anxiety disorders: severe; Angina pectoris: moderate";"Anxiety disorders: moderate; COPD and other chronic respiratory disease: mild";"Parkinson's disease: moderate; Asthma: controlled";"Decompensated cirrhosis of the liver; Anxiety disorders: moderate";"COPD and other chronic respiratory disease: severe; Motor impairment: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Diabetic neuropathy";"Stroke: long-term consequences, moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Stroke: long-term consequences, severe plus cognition problems; Anxiety disorders: severe";"Anxiety disorders: moderate; Musculoskeletal problems, legs: mild";"Spinal cord lesion at neck level: treated; Anxiety disorders: severe";"Acute myocardial infarction: days 3-28; Angina pectoris: moderate";"Asthma: controlled; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Diabetic neuropathy; COPD and other chronic respiratory disease: mild"
"COPD and other chronic respiratory disease: severe; Multiple sclerosis: severe";"Decompensated cirrhosis of the liver; COPD and other chronic respiratory disease: severe";"Dementia: mild; Anxiety disorders: severe";"COPD and other chronic respiratory disease: mild; Parkinson's disease: moderate";"Asthma: controlled; Spinal cord lesion at neck level: treated";"Major depressive disorder: moderate episode; Anxiety disorders: severe";"Dementia: mild; Stroke: long-term consequences, moderate";"Asthma: controlled; Hearing loss: moderate";"COPD and other chronic respiratory disease: mild; Multiple sclerosis: severe";"COPD and other chronic respiratory disease: mild; Decompensated cirrhosis of the liver";"Major depressive disorder: moderate episode; Distance vision: severe impairment";"Acute myocardial infarction: days 3-28; Spinal cord lesion at neck level: treated";"Distance vision: moderate impairment; Decompensated cirrhosis of the liver";"COPD and other chronic respiratory disease: severe; Decompensated cirrhosis of the liver";"Hearing loss: moderate; Acute myocardial infarction: days 3-28"
"Cancer: diagnosis and primary therapy; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Dementia: moderate; Anxiety disorders: moderate";"Multiple sclerosis: severe; Anxiety disorders: moderate";"Parkinson's disease: moderate; Diabetic neuropathy";"Stroke: long-term consequences, severe plus cognition problems; Hearing loss: moderate";"Distance vision: moderate impairment; Hearing loss: moderate";"Dementia: moderate; Asthma: partially controlled";"Distance vision: severe impairment; Cancer: diagnosis and primary therapy";"Multiple sclerosis: severe; Diabetic neuropathy";"Major depressive disorder: moderate episode; COPD and other chronic respiratory disease: mild";"Stroke: long-term consequences, severe plus cognition problems; Musculoskeletal problems, legs: mild";"Major depressive disorder: moderate episode; Amputation of finger(s), excluding thumb: long term, with treatment";"Distance vision: severe impairment; Acute myocardial infarction: days 3-28";"Anxiety disorders: moderate; Dementia: moderate";"Angina pectoris: moderate; Asthma: controlled"
"COPD and other chronic respiratory disease: mild; Acute myocardial infarction: days 3-28";"Distance vision: severe impairment; COPD and other chronic respiratory disease: severe";"Major depressive disorder: moderate episode; Stroke: long-term consequences, severe plus cognition problems";"Distance vision: moderate impairment; Hearing loss: complete";"Multiple sclerosis: severe; Spinal cord lesion at neck level: treated";"Angina pectoris: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Stroke: long-term consequences, moderate; Distance vision: severe impairment";"Angina pectoris: moderate; Stroke: long-term consequences, severe plus cognition problems";"Cancer: diagnosis and primary therapy; Dementia: moderate";"Diabetic neuropathy; Cancer: diagnosis and primary therapy";"Distance vision: severe impairment; Stroke: long-term consequences, severe plus cognition problems";"Stroke: long-term consequences, severe plus cognition problems; Spinal cord lesion at neck level: treated";"Parkinson's disease: moderate; Spinal cord lesion at neck level: treated";"COPD and other chronic respiratory disease: severe; Distance vision: severe impairment";"Hearing loss: moderate; Cancer: diagnosis and primary therapy"
"Amputation of finger(s), excluding thumb: long term, with treatment; Acute myocardial infarction: days 3-28";"Angina pectoris: moderate; Dementia: moderate";"Anxiety disorders: severe; Dementia: moderate";"Distance vision: moderate impairment; Multiple sclerosis: severe";"Distance vision: moderate impairment; Anemia: moderate";"Dementia: mild; Anxiety disorders: severe";"Acute myocardial infarction: days 3-28; Stroke: long-term consequences, severe plus cognition problems";"Hearing loss: moderate; Anxiety disorders: severe";"Asthma: partially controlled; Musculoskeletal problems, legs: mild";"Dementia: mild; Distance vision: severe impairment";"Angina pectoris: moderate; Parkinson's disease: moderate";"Motor impairment: moderate; Parkinson's disease: moderate";"Diabetic neuropathy; Spinal cord lesion at neck level: treated";"Dementia: moderate; Angina pectoris: moderate";"Acute myocardial infarction: days 3-28; Distance vision: severe impairment"
"Multiple sclerosis: severe; Motor impairment: moderate";"Parkinson's disease: moderate; Diabetic neuropathy";"Decompensated cirrhosis of the liver; Diabetic neuropathy";"Stroke: long-term consequences, severe plus cognition problems; Asthma: controlled";"Dementia: moderate; COPD and other chronic respiratory disease: mild";"Multiple sclerosis: severe; Distance vision: severe impairment";"Spinal cord lesion at neck level: treated; Diabetic neuropathy";"Hearing loss: complete; Distance vision: moderate impairment";"Stroke: long-term consequences, severe plus cognition problems; Multiple sclerosis: severe";"Multiple sclerosis: severe; Angina pectoris: moderate";"Musculoskeletal problems, legs: mild; Asthma: controlled";"Anxiety disorders: severe; Hearing loss: complete";"Major depressive disorder: moderate episode; Musculoskeletal problems, legs: mild";"Diabetic neuropathy; Parkinson's disease: moderate";"Acute myocardial infarction: days 3-28; Amputation of finger(s), excluding thumb: long term, with treatment"
"Dementia: mild; Parkinson's disease: moderate";"Asthma: partially controlled; Musculoskeletal problems, legs: mild";"Anxiety disorders: moderate; Motor impairment: moderate";"Angina pectoris: moderate; Anxiety disorders: severe";"Cancer: diagnosis and primary therapy; Distance vision: severe impairment";"COPD and other chronic respiratory disease: mild; Angina pectoris: moderate";"Cancer: diagnosis and primary therapy; Major depressive disorder: moderate episode";"Asthma: partially controlled; COPD and other chronic respiratory disease: severe";"Distance vision: moderate impairment; Acute myocardial infarction: days 3-28";"Asthma: partially controlled; Amputation of finger(s), excluding thumb: long term, with treatment";"Hearing loss: moderate; Motor impairment: moderate";"Dementia: mild; Spinal cord lesion at neck level: treated";"Asthma: partially controlled; Cancer: diagnosis and primary therapy";"Musculoskeletal problems, legs: mild; Asthma: partially controlled";"Major depressive disorder: moderate episode; Stroke: long-term consequences, severe plus cognition problems"
"Stroke: long-term consequences, severe plus cognition problems; Musculoskeletal problems, legs: mild";"Parkinson's disease: moderate; Musculoskeletal problems, legs: mild";"Multiple sclerosis: severe; Distance vision: severe impairment";"Amputation of finger(s), excluding thumb: long term, with treatment; COPD and other chronic respiratory disease: mild";"Anxiety disorders: severe; Asthma: controlled";"Anxiety disorders: moderate; Asthma: partially controlled";"Anxiety disorders: moderate; Distance vision: moderate impairment";"Parkinson's disease: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"Anemia: moderate; Asthma: controlled";"COPD and other chronic respiratory disease: mild; Asthma: controlled";"Parkinson's disease: moderate; Diabetic neuropathy";"Diabetic neuropathy; Hearing loss: moderate";"Anxiety disorders: severe; Decompensated cirrhosis of the liver";"Musculoskeletal problems, legs: mild; Parkinson's disease: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Acute myocardial infarction: days 3-28"
"Hearing loss: moderate; Anxiety disorders: moderate";"Hearing loss: complete; Amputation of finger(s), excluding thumb: long term, with treatment";"Anemia: moderate; Anxiety disorders: severe";"Distance vision: moderate impairment; Musculoskeletal problems, legs: mild";"Diabetic neuropathy; Spinal cord lesion at neck level: treated";"Anxiety disorders: moderate; Stroke: long-term consequences, severe plus cognition problems";"Dementia: mild; Dementia: moderate";"Acute myocardial infarction: days 3-28; Distance vision: severe impairment";"Distance vision: severe impairment; Dementia: moderate";"Acute myocardial infarction: days 3-28; Multiple sclerosis: severe";"Parkinson's disease: moderate; Spinal cord lesion at neck level: treated";"Anxiety disorders: severe; COPD and other chronic respiratory disease: severe";"Hearing loss: moderate; Angina pectoris: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Hearing loss: complete";"Motor impairment: moderate; Distance vision: severe impairment"
"Anxiety disorders: moderate; Cancer: diagnosis and primary therapy";"Amputation of finger(s), excluding thumb: long term, with treatment; Distance vision: severe impairment";"Hearing loss: moderate; Stroke: long-term consequences, severe plus cognition problems";"COPD and other chronic respiratory disease: mild; Musculoskeletal problems, legs: mild";"Acute myocardial infarction: days 3-28; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Angina pectoris: moderate; Stroke: long-term consequences, moderate";"COPD and other chronic respiratory disease: mild; Dementia: mild";"Anemia: moderate; Stroke: long-term consequences, moderate";"Motor impairment: moderate; Spinal cord lesion at neck level: treated";"Musculoskeletal problems, legs: mild; Anemia: moderate";"Anxiety disorders: moderate; Motor impairment: moderate";"Hearing loss: moderate; Dementia: moderate";"Major depressive disorder: moderate episode; Distance vision: severe impairment";"Distance vision: severe impairment; Amputation of finger(s), excluding thumb: long term, with treatment";"Cancer: diagnosis and primary therapy; Spinal cord lesion at neck level: treated"
"COPD and other chronic respiratory disease: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Multiple sclerosis: severe; Diabetic neuropathy";"Decompensated cirrhosis of the liver; Angina pectoris: moderate";"Acute myocardial infarction: days 3-28; Asthma: partially controlled";"Angina pectoris: moderate; Distance vision: moderate impairment";"Spinal cord lesion at neck level: treated; Angina pectoris: moderate";"Distance vision: moderate impairment; Asthma: partially controlled";"COPD and other chronic respiratory disease: severe; Dementia: mild";"Stroke: long-term consequences, moderate; Dementia: mild";"Major depressive disorder: moderate episode; Dementia: mild";"Distance vision: moderate impairment; Hearing loss: moderate";"Parkinson's disease: moderate; Stroke: long-term consequences, moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Anemia: moderate";"Diabetic neuropathy; Multiple sclerosis: severe";"Motor impairment: moderate; Distance vision: moderate impairment"
"COPD and other chronic respiratory disease: severe; Distance vision: moderate impairment";"Dementia: moderate; Parkinson's disease: moderate";"Stroke: long-term consequences, severe plus cognition problems; Multiple sclerosis: severe";"Major depressive disorder: moderate episode; Acute myocardial infarction: days 3-28";"Stroke: long-term consequences, moderate; Anxiety disorders: moderate";"Hearing loss: complete; Musculoskeletal problems, legs: mild";"Spinal cord lesion at neck level: treated; Anemia: moderate";"Distance vision: severe impairment; Angina pectoris: moderate";"Anemia: moderate; Distance vision: moderate impairment";"Multiple sclerosis: severe; Anemia: moderate";"Cancer: diagnosis and primary therapy; Asthma: partially controlled";"Anxiety disorders: severe; Hearing loss: moderate";"Motor impairment: moderate; Angina pectoris: moderate";"Parkinson's disease: moderate; Dementia: moderate";"Spinal cord lesion at neck level: treated; Dementia: moderate"
"Anemia: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Asthma: controlled; Hearing loss: moderate";"COPD and other chronic respiratory disease: mild; Stroke: long-term consequences, moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Dementia: moderate";"Major depressive disorder: moderate episode; COPD and other chronic respiratory disease: severe";"Asthma: partially controlled; Multiple sclerosis: severe";"Asthma: partially controlled; Anemia: moderate";"Hearing loss: complete; Dementia: mild";"COPD and other chronic respiratory disease: severe; Stroke: long-term consequences, severe plus cognition problems";"Amputation of finger(s), excluding thumb: long term, with treatment; Stroke: long-term consequences, moderate";"Asthma: controlled; COPD and other chronic respiratory disease: severe";"Stroke: long-term consequences, moderate; Dementia: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Major depressive disorder: moderate episode";"Hearing loss: moderate; Asthma: controlled";"COPD and other chronic respiratory disease: mild; Anxiety disorders: moderate"
"Stroke: long-term consequences, moderate; Major depressive disorder: moderate episode";"Angina pectoris: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Multiple sclerosis: severe";"COPD and other chronic respiratory disease: mild; Motor impairment: moderate";"Acute myocardial infarction: days 3-28; Decompensated cirrhosis of the liver";"Asthma: controlled; Multiple sclerosis: severe";"Distance vision: moderate impairment; Angina pectoris: moderate";"Angina pectoris: moderate; Spinal cord lesion at neck level: treated";"Dementia: mild; Dementia: moderate";"Acute myocardial infarction: days 3-28; Motor impairment: moderate";"Diabetic neuropathy; Amputation of finger(s), excluding thumb: long term, with treatment";"Hearing loss: moderate; Dementia: moderate";"Anemia: moderate; Acute myocardial infarction: days 3-28";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Angina pectoris: moderate";"Acute myocardial infarction: days 3-28; Anxiety disorders: severe"
"Stroke: long-term consequences, moderate; Anxiety disorders: severe";"COPD and other chronic respiratory disease: mild; Diabetic neuropathy";"COPD and other chronic respiratory disease: severe; Spinal cord lesion at neck level: treated";"Hearing loss: moderate; Musculoskeletal problems, legs: mild";"Anemia: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Asthma: controlled; Decompensated cirrhosis of the liver";"Hearing loss: moderate; Major depressive disorder: moderate episode";"Asthma: partially controlled; Motor impairment: moderate";"Cancer: diagnosis and primary therapy; Stroke: long-term consequences, severe plus cognition problems";"Hearing loss: complete; Distance vision: severe impairment";"Major depressive disorder: moderate episode; Dementia: moderate";"Dementia: mild; Dementia: moderate";"Distance vision: moderate impairment; Anxiety disorders: moderate";"Diabetic neuropathy; COPD and other chronic respiratory disease: mild";"Major depressive disorder: moderate episode; Decompensated cirrhosis of the liver"
"Stroke: long-term consequences, moderate; Major depressive disorder: moderate episode";"Amputation of finger(s), excluding thumb: long term, with treatment; Anxiety disorders: severe";"COPD and other chronic respiratory disease: mild; Angina pectoris: moderate";"Anemia: moderate; Decompensated cirrhosis of the liver";"Angina pectoris: moderate; Hearing loss: complete";"Parkinson's disease: moderate; Multiple sclerosis: severe";"Hearing loss: moderate; Asthma: partially controlled";"Major depressive disorder: moderate episode; Spinal cord lesion at neck level: treated";"Decompensated cirrhosis of the liver; Multiple sclerosis: severe";"Dementia: mild; Anxiety disorders: severe";"Asthma: partially controlled; Motor impairment: moderate";"Hearing loss: complete; Motor impairment: moderate";"Hearing loss: complete; Diabetic neuropathy";"Anxiety disorders: severe; Amputation of finger(s), excluding thumb: long term, with treatment";"Asthma: controlled; Stroke: long-term consequences, severe plus cognition problems"
"Anxiety disorders: severe; Anxiety disorders: moderate";"Acute myocardial infarction: days 3-28; Asthma: controlled";"Stroke: long-term consequences, severe plus cognition problems; Anemia: moderate";"Angina pectoris: moderate; Distance vision: moderate impairment";"Stroke: long-term consequences, severe plus cognition problems; Multiple sclerosis: severe";"Hearing loss: complete; Asthma: controlled";"Amputation of finger(s), excluding thumb: long term, with treatment; Dementia: mild";"Stroke: long-term consequences, severe plus cognition problems; Dementia: mild";"Anxiety disorders: severe; Cancer: diagnosis and primary therapy";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Asthma: partially controlled";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Hearing loss: moderate";"Multiple sclerosis: severe; Acute myocardial infarction: days 3-28";"Anemia: moderate; Dementia: mild";"Asthma: controlled; Acute myocardial infarction: days 3-28";"Anxiety disorders: moderate; Hearing loss: complete"
"COPD and other chronic respiratory disease: mild; Asthma: controlled";"Distance vision: severe impairment; Dementia: mild";"Dementia: mild; Diabetic neuropathy";"Major depressive disorder: moderate episode; Musculoskeletal problems, legs: mild";"Amputation of finger(s), excluding thumb: long term, with treatment; Anxiety disorders: moderate";"Distance vision: severe impairment; Acute myocardial infarction: days 3-28";"Cancer: diagnosis and primary therapy; Anemia: moderate";"Cancer: diagnosis and primary therapy; Hearing loss: complete";"Major depressive disorder: moderate episode; Hearing loss: complete";"COPD and other chronic respiratory disease: severe; Motor impairment: moderate";"Acute myocardial infarction: days 3-28; Asthma: controlled";"Stroke: long-term consequences, severe plus cognition problems; Asthma: partially controlled";"Spinal cord lesion at neck level: treated; Major depressive disorder: moderate episode";"Dementia: mild; Distance vision: severe impairment";"Major depressive disorder: moderate episode; Asthma: partially controlled"
